Workout_Hours_Per_Week,Calories_Burned_Avg,Sleep_Hours,BMI,Resting_Heart_Rate,Fitness_Level
4.5,292.0,6.3,26.5,82.0,Novice
2.0,178.0,6.1,32.0,90.0,Beginner
2.4,224.0,5.3,25.7,84.0,Beginner
5.6,434.0,6.3,25.2,67.0,Intermediate
2.6,208.0,5.7,28.1,72.0,Beginner
8.9,730.0,7.7,20.5,67.0,Advanced
9.9,650.0,7.1,23.4,70.0,Advanced
2.3,172.0,5.7,30.5,81.0,Beginner
12.1,854.0,8.1,19.3,62.0,Elite
5.5,573.0,7.6,23.1,75.0,Intermediate
9.7,756.0,8.2,20.6,66.0,Advanced
2.9,374.0,5.7,24.9,78.0,Novice
6.2,524.0,6.9,23.2,73.0,Intermediate
10.1,675.0,7.3,24.6,66.0,Advanced
12.2,870.0,8.0,19.6,59.0,Elite
3.7,339.0,7.7,25.8,75.0,Novice
12.1,871.0,8.2,22.3,60.0,Elite
2.1,192.0,4.7,29.1,82.0,Beginner
8.0,659.0,6.8,23.4,63.0,Advanced
7.4,498.0,7.2,24.5,75.0,Intermediate
7.5,489.0,6.7,21.2,73.0,Intermediate
3.8,333.0,5.6,26.9,79.0,Novice
3.3,339.0,5.8,23.1,76.0,Novice
2.4,176.0,4.7,30.3,87.0,Beginner
12.7,813.0,8.0,18.9,57.0,Elite
4.2,394.0,5.8,24.8,82.0,Novice
6.5,568.0,6.7,26.4,74.0,Intermediate
12.7,792.0,9.0,20.2,62.0,Elite
1.4,219.0,4.8,32.7,77.0,Beginner
4.9,530.0,6.3,25.2,69.0,Intermediate
3.7,407.0,5.9,26.4,77.0,Novice
2.2,170.0,7.0,28.9,79.0,Beginner
5.2,341.0,5.7,23.2,79.0,Novice
1.4,258.0,5.0,25.5,85.0,Beginner
3.5,387.0,6.5,23.9,83.0,Novice
7.6,457.0,6.1,24.6,73.0,Intermediate
4.1,349.0,6.2,26.6,78.0,Novice
4.2,359.0,4.7,25.8,79.0,Novice
12.8,962.0,8.2,20.3,55.0,Elite
4.6,317.0,6.0,25.4,77.0,Novice
9.0,571.0,7.6,22.1,64.0,Advanced
2.8,173.0,5.7,24.2,92.0,Beginner
1.8,174.0,5.1,29.4,89.0,Beginner
2.5,206.0,5.9,27.8,85.0,Beginner
6.8,533.0,7.1,25.3,66.0,Intermediate
1.2,288.0,5.1,30.4,85.0,Beginner
1.7,263.0,5.9,29.2,91.0,Beginner
10.0,714.0,7.4,21.5,65.0,Advanced
12.8,927.0,7.6,20.8,61.0,Elite
13.5,849.0,7.7,18.9,60.0,Elite
9.2,696.0,7.3,21.7,67.0,Advanced
6.6,522.0,6.9,24.9,73.0,Intermediate
4.5,417.0,5.8,28.0,77.0,Novice
7.0,386.0,6.5,23.8,71.0,Intermediate
13.2,956.0,7.7,20.5,58.0,Elite
13.9,786.0,7.9,19.8,56.0,Elite
13.6,880.0,8.6,18.5,59.0,Elite
12.4,845.0,7.5,19.5,66.0,Elite
4.6,348.0,5.9,23.4,79.0,Novice
6.4,521.0,6.8,27.1,72.0,Intermediate
7.5,526.0,7.6,20.8,78.0,Intermediate
13.5,813.0,8.0,20.9,61.0,Elite
11.6,888.0,8.0,20.1,56.0,Elite
3.0,241.0,5.6,28.1,79.0,Beginner
8.8,650.0,7.7,25.2,62.0,Advanced
9.1,743.0,7.3,22.7,66.0,Advanced
9.6,729.0,7.3,23.3,65.0,Advanced
6.9,527.0,6.4,22.9,72.0,Intermediate
6.6,507.0,6.8,25.4,72.0,Intermediate
9.3,642.0,7.8,21.9,62.0,Advanced
3.7,342.0,6.4,26.9,78.0,Novice
3.0,372.0,6.2,24.5,75.0,Novice
5.9,503.0,6.8,27.9,63.0,Intermediate
4.0,373.0,5.9,25.4,80.0,Novice
7.3,614.0,7.2,23.5,60.0,Advanced
1.7,192.0,5.6,26.2,87.0,Beginner
12.0,884.0,7.8,21.4,55.0,Elite
12.9,873.0,7.7,21.7,57.0,Elite
5.8,463.0,6.6,22.1,70.0,Intermediate
13.4,873.0,8.5,19.5,60.0,Elite
6.6,546.0,6.6,21.1,72.0,Intermediate
10.3,645.0,7.0,20.5,66.0,Advanced
10.8,809.0,6.6,22.4,63.0,Advanced
4.2,464.0,5.2,26.3,81.0,Novice
9.5,670.0,7.9,21.0,60.0,Advanced
3.5,443.0,6.3,22.8,80.0,Novice
6.0,519.0,7.4,23.9,72.0,Intermediate
1.9,282.0,5.3,29.6,93.0,Beginner
7.4,539.0,6.2,24.0,72.0,Intermediate
3.5,178.0,5.5,32.0,84.0,Beginner
5.6,409.0,6.4,21.7,74.0,Intermediate
10.8,821.0,8.0,20.0,61.0,Elite
11.7,903.0,7.8,20.4,57.0,Elite
1.1,250.0,4.5,27.6,83.0,Beginner
8.6,663.0,7.0,22.0,61.0,Advanced
2.4,261.0,4.9,27.6,86.0,Beginner
5.2,545.0,6.6,23.3,72.0,Intermediate
4.2,356.0,5.5,21.4,76.0,Novice
8.3,676.0,7.1,22.7,63.0,Advanced
13.0,848.0,8.8,22.7,59.0,Elite
5.0,360.0,5.2,24.7,79.0,Novice
6.8,516.0,7.1,25.6,73.0,Intermediate
14.0,835.0,8.2,21.4,59.0,Elite
6.5,562.0,6.8,22.7,73.0,Intermediate
3.9,342.0,6.8,26.7,79.0,Novice
12.8,981.0,8.8,20.7,58.0,Elite
4.0,350.0,5.8,27.1,81.0,Novice
10.2,651.0,6.6,21.5,67.0,Advanced
12.2,815.0,8.3,19.6,56.0,Elite
6.4,590.0,6.5,22.8,75.0,Intermediate
9.0,767.0,8.1,23.8,64.0,Advanced
4.6,328.0,6.6,25.8,80.0,Novice
2.0,183.0,5.3,27.1,79.0,Beginner
8.6,657.0,7.4,20.9,63.0,Advanced
4.2,293.0,6.2,27.9,78.0,Novice
0.8,240.0,6.4,27.6,83.0,Beginner
3.9,397.0,5.2,26.1,73.0,Novice
13.9,891.0,7.5,20.7,59.0,Elite
9.2,667.0,8.4,23.0,64.0,Advanced
6.6,533.0,6.9,26.6,74.0,Intermediate
3.6,312.0,5.8,24.2,81.0,Novice
2.4,186.0,6.1,25.7,90.0,Beginner
6.5,513.0,6.3,22.5,76.0,Intermediate
4.5,287.0,5.8,24.7,83.0,Novice
2.4,183.0,5.5,25.1,89.0,Beginner
2.8,231.0,4.6,28.2,86.0,Beginner
9.6,567.0,7.7,20.9,70.0,Advanced
9.9,645.0,7.6,22.0,66.0,Advanced
2.6,188.0,5.9,27.2,85.0,Beginner
2.3,258.0,5.8,26.1,88.0,Beginner
4.7,305.0,6.7,24.6,83.0,Novice
3.2,288.0,6.3,27.3,89.0,Beginner
4.5,531.0,6.8,22.1,70.0,Intermediate
5.7,312.0,5.7,26.6,82.0,Novice
4.3,332.0,5.7,23.0,86.0,Novice
1.8,149.0,5.4,29.0,79.0,Beginner
5.9,473.0,6.5,23.5,67.0,Intermediate
12.9,816.0,7.6,22.4,57.0,Elite
2.9,180.0,5.7,31.0,82.0,Beginner
6.5,450.0,6.6,25.0,70.0,Intermediate
6.8,524.0,7.1,23.2,71.0,Intermediate
8.7,688.0,7.5,20.1,62.0,Advanced
14.6,929.0,7.8,21.3,57.0,Elite
6.5,482.0,7.4,21.4,68.0,Intermediate
2.2,176.0,5.4,25.8,86.0,Beginner
8.9,631.0,6.7,22.5,63.0,Advanced
12.1,833.0,7.5,22.5,59.0,Elite
3.7,318.0,6.1,21.6,78.0,Novice
11.8,861.0,7.0,21.5,58.0,Elite
13.0,818.0,7.8,20.8,61.0,Elite
14.0,854.0,7.3,20.6,53.0,Elite
5.9,581.0,6.4,23.8,71.0,Intermediate
7.8,537.0,7.1,24.4,76.0,Intermediate
7.4,471.0,5.9,24.5,73.0,Intermediate
4.1,343.0,5.4,24.6,80.0,Novice
8.7,682.0,7.0,20.6,63.0,Advanced
7.0,473.0,6.9,27.2,74.0,Intermediate
6.5,467.0,6.5,24.1,72.0,Intermediate
6.3,478.0,6.2,24.0,81.0,Intermediate
6.3,439.0,6.8,20.1,71.0,Intermediate
8.7,785.0,6.9,21.0,68.0,Advanced
6.2,502.0,7.9,27.7,79.0,Intermediate
